,number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_beta,params_buffer_size,params_exploration_final_eps,params_exploration_fraction,params_gamma,params_learning_rate,params_learning_starts,params_lr_schedule,params_net_arch,params_subsample_steps,params_target_update_interval,params_train_freq,state
30,30,0.25145531289617346,2022-08-21 20:29:09.503087,2022-08-21 20:50:54.792098,0 days 00:21:45.289011,0.34557231278819606,256,0.8103604699117133,1000000,0.12526782004720716,0.32542331290495496,0.95,0.00015531559469667127,0,linear,medium,2,20000,256,PRUNED
31,31,0.07199443416356595,2022-08-21 20:50:54.804291,2022-08-21 21:24:53.407865,0 days 00:33:58.603574,0.4652433355372512,128,0.6588684211938903,50000,0.13855576566740047,0.3568303245240456,0.95,5.128934036406857e-05,1000,constant,medium,2,1,8,PRUNED
32,32,0.07326414209164751,2022-08-21 21:24:53.418880,2022-08-21 22:08:06.004798,0 days 00:43:12.585918,0.504793238329926,128,0.7216340851479622,50000,0.11061583703794516,0.40094598793105807,0.95,9.043718154249435e-05,1000,constant,medium,2,1,8,PRUNED
33,33,0.22442960934804188,2022-08-21 22:08:06.017822,2022-08-21 22:27:00.465793,0 days 00:18:54.447971,0.6842748255790214,128,0.6154139501602724,50000,0.09273232978503718,0.3404504745824077,0.95,4.592478628898818e-05,1000,constant,medium,2,1,8,PRUNED
34,34,0.0,2022-08-21 22:27:00.473970,2022-08-21 23:18:29.147049,0 days 00:51:28.673079,0.40878671506387576,100,0.5210278852428512,10000,0.1346693382032287,0.29224542937820064,0.9999,2.1663309206881497e-05,1000,constant,medium,8,1,1000,PRUNED
35,35,0.2774906610492856,2022-08-21 23:18:29.158709,2022-08-21 23:31:16.977708,0 days 00:12:47.818999,0.1967156330266966,128,0.776462404707592,50000,0.15847236397933703,0.27174348193725406,0.999,1.6666282400442402e-05,20000,constant,large,2,15000,8,PRUNED
36,36,0.533666902305138,2022-08-21 23:31:16.987187,2022-08-21 23:43:50.790655,0 days 00:12:33.803468,0.28251341010364134,512,0.9199777820776077,50000,0.1795508991418698,0.2244590921762052,0.9,6.9484407866026e-05,10000,constant,medium,2,10000,1,PRUNED
37,37,0.0014687801945883836,2022-08-21 23:43:50.800523,2022-08-22 00:07:53.246339,0 days 00:24:02.445816,0.09000009522139933,64,0.3309391207448165,50000,0.07731149867662403,0.006456803496818597,0.95,0.0007151000040541122,20000,constant,small,4,1000,4,PRUNED
38,38,0.010133480683171669,2022-08-22 00:07:53.255118,2022-08-22 00:21:35.004028,0 days 00:13:41.748910,0.47847989576776273,100,0.6504052321257379,10000,0.10055112005898634,0.1792392180910029,0.98,1.0222443738013186e-05,1000,linear,large,8,15000,16,PRUNED
39,39,0.0014258107088989441,2022-08-22 00:21:35.012250,2022-08-22 02:18:19.238852,0 days 01:56:44.226602,0.5485335774266727,16,0.4428260199801705,50000,0.19917743533724402,0.45191771243512224,0.999,0.0002591357885282808,5000,linear,medium,2,20000,1,PRUNED
40,40,0.40130352266042246,2022-08-22 02:18:19.254501,2022-08-22 02:35:35.456438,0 days 00:17:16.201937,0.863286720336812,256,0.7010850358594927,1000000,0.003868643070102932,0.04432628550517037,0.9,4.347790467797642e-05,0,constant,small,1,1,4,PRUNED
41,41,0.49350707700470126,2022-08-22 02:35:35.469428,2022-08-22 02:54:54.464863,0 days 00:19:18.995435,0.32564779205952127,512,0.8798284740432231,50000,0.04267393640800573,0.059536251467370335,0.999,2.8153854411399223e-05,5000,linear,medium,1,10000,1,PRUNED
42,42,0.5577204675245028,2022-08-22 02:54:54.481270,2022-08-22 03:08:14.487622,0 days 00:13:20.006352,0.2735677292652697,512,0.8300885562187321,50000,0.018321940923821563,0.22917631575923098,0.999,1.4826810275685959e-05,5000,linear,medium,1,10000,1,PRUNED
43,43,,2022-08-22 03:08:14.498781,,,0.23656363954105467,512,0.8141280549159016,50000,0.05713015365094583,0.11554013640214411,0.999,1.5743739035540777e-05,5000,linear,medium,1,10000,1,RUNNING
