,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_exploration_final_eps,params_exploration_fraction,params_gamma,params_learning_rate,params_learning_starts,params_lr_schedule,params_net_arch,params_subsample_steps,params_target_update_interval,params_train_freq,state
37,37,25.00000037252903,2022-08-09 19:01:36.303334,2022-08-09 19:02:49.689016,0 days 00:01:13.385682,64,50000,0.1398774730337859,0.13848487795074516,0.9999,1.1888004038224508e-05,1000,linear,large,4,5000,256,PRUNED
38,38,-499.0,2022-08-09 19:02:49.693173,2022-08-09 19:03:03.771844,0 days 00:00:14.078671,64,50000,0.16684014071822084,0.19177824723953255,0.9999,0.0022011207599656186,20000,linear,large,4,5000,256,PRUNED
39,39,-178.10251280311496,2022-08-09 19:03:03.775963,2022-08-09 19:07:06.215522,0 days 00:04:02.439559,64,50000,0.1818338286082787,0.2812992128087347,0.9999,0.005637336994822474,1000,linear,large,4,5000,1,PRUNED
40,40,-499.0,2022-08-09 19:07:06.219460,2022-08-09 19:07:20.559679,0 days 00:00:14.340219,256,50000,0.1512839201011857,0.24194375500399298,0.999,0.00023560495946886576,10000,linear,large,2,15000,256,PRUNED
41,41,63.43265092372894,2022-08-09 19:07:20.563717,2022-08-09 19:09:17.955997,0 days 00:01:57.392280,64,50000,0.18947478927791536,0.19377935733975804,0.9999,0.0004065350679957763,1000,linear,large,4,5000,256,PRUNED
42,42,1.8527971513569355,2022-08-09 19:09:17.960597,2022-08-09 19:11:14.314833,0 days 00:01:56.354236,64,50000,0.17661739948266003,0.1626740876160673,0.9999,0.0013065139205428334,1000,linear,large,4,5000,256,PRUNED
43,43,56.69088531192392,2022-08-09 19:11:14.319351,2022-08-09 19:16:11.175851,0 days 00:04:56.856500,512,50000,0.17732368926239397,0.2211040010204857,0.9999,0.0004050450678364775,1000,linear,large,4,5000,256,PRUNED
44,44,9.808399508334697,2022-08-09 19:16:11.181815,2022-08-09 19:17:21.050833,0 days 00:01:09.869018,64,50000,0.15910690535944433,0.2916417133075415,0.9999,6.384358674958984e-05,1000,linear,medium,4,5000,4,PRUNED
45,45,56.6330225225538,2022-08-09 19:17:21.054911,2022-08-09 19:19:05.569371,0 days 00:01:44.514460,32,50000,0.13162134440770684,0.3194524124952597,0.95,0.00019280219087287317,0,linear,large,4,1000,128,PRUNED
46,46,-109.20293732360005,2022-08-09 19:19:05.573944,2022-08-09 19:21:45.253253,0 days 00:02:39.679309,64,100000,0.1610509825202764,0.24924087604809,0.99,0.003253568907538389,1000,linear,large,2,5000,256,PRUNED
47,47,-499.0,2022-08-09 19:21:45.257400,2022-08-09 19:21:58.588902,0 days 00:00:13.331502,256,1000000,0.19928524498248248,0.08739332148245853,0.9999,0.001070364592710495,20000,linear,medium,4,15000,256,PRUNED
48,48,84.75144153926522,2022-08-09 19:21:58.593221,2022-08-09 19:37:16.110536,0 days 00:15:17.517315,512,50000,0.14344421200852078,0.17981096052256482,0.9999,3.084428010809778e-05,1000,linear,large,1,5000,1,COMPLETE
49,49,-499.0,2022-08-09 19:37:16.123430,2022-08-09 19:37:47.152353,0 days 00:00:31.028923,512,1000000,0.14422557272693032,0.14197261962764343,0.999,2.5085910920080822e-05,10000,linear,large,1,1,1,PRUNED
50,50,84.46130906231701,2022-08-09 19:37:47.156244,2022-08-09 19:53:15.229533,0 days 00:15:28.073289,512,50000,0.13198275483711208,0.023853894361713424,0.9999,7.516684687367262e-05,1000,linear,large,1,5000,1,COMPLETE
51,51,80.15987135618926,2022-08-09 19:53:15.242273,2022-08-09 20:08:43.724523,0 days 00:15:28.482250,512,50000,0.12358249462392656,0.0066718943916970475,0.9999,8.62687777145972e-05,1000,linear,large,1,5000,1,COMPLETE
52,52,67.85335326064379,2022-08-09 20:08:43.737774,2022-08-09 20:24:22.798801,0 days 00:15:39.061027,512,50000,0.12383738354167985,0.0014906879274593776,0.9999,3.876079022116365e-05,1000,linear,large,1,5000,1,PRUNED
53,53,46.402753193862736,2022-08-09 20:24:22.803192,2022-08-09 20:39:12.058180,0 days 00:14:49.254988,512,50000,0.10661827383982772,0.03171848399995772,0.9999,1.1493203824220012e-05,1000,linear,large,1,5000,1,PRUNED
54,54,87.707559732534,2022-08-09 20:39:12.062233,2022-08-09 20:54:45.038439,0 days 00:15:32.976206,512,50000,0.12933119390391912,0.051134116569252513,0.99,7.825239952941631e-05,1000,linear,large,1,20000,1,COMPLETE
55,55,31.497830384410918,2022-08-09 20:54:45.052764,2022-08-09 21:02:55.647389,0 days 00:08:10.594625,512,1000000,0.1254383600889515,0.049037827387734545,0.99,7.563457361267223e-05,1000,linear,medium,1,20000,1,PRUNED
56,56,46.93133681770414,2022-08-09 21:02:55.652788,2022-08-09 21:20:32.201644,0 days 00:17:36.548856,512,100000,0.08925388845897378,0.006070705734361499,0.99,3.2103002071736555e-05,0,linear,large,1,20000,1,PRUNED
57,57,68.42687355615199,2022-08-09 21:20:32.208203,2022-08-09 21:36:54.168474,0 days 00:16:21.960271,512,50000,0.1324097211208349,0.06095930721623868,0.99,8.093769284191988e-05,1000,linear,large,1,20000,1,PRUNED
58,58,77.69923289380968,2022-08-09 21:36:54.173790,2022-08-09 21:53:19.408909,0 days 00:16:25.235119,512,1000000,0.10865661325228422,0.08657969638700931,0.995,0.00010191815435107711,1000,linear,large,1,20000,1,COMPLETE
59,59,93.25123101677745,2022-08-09 21:53:19.422802,2022-08-09 22:08:39.519712,0 days 00:15:20.096910,512,1000000,0.10949883414398862,0.022604589884911947,0.995,1.7558719999445275e-05,1000,linear,large,1,20000,1,COMPLETE
