row ID,row m/z,row retention time,row identity (main ID),row identity (all IDs),row identity (main ID + details),row comment,row number of detected peaks,fullscan_QCB.mzML filtered Peak status,fullscan_QCB.mzML filtered Peak name,fullscan_QCB.mzML filtered Peak m/z,fullscan_QCB.mzML filtered Peak RT,fullscan_QCB.mzML filtered Peak RT start,fullscan_QCB.mzML filtered Peak RT end,fullscan_QCB.mzML filtered Peak duration time,fullscan_QCB.mzML filtered Peak height,fullscan_QCB.mzML filtered Peak area,fullscan_QCB.mzML filtered Peak charge,fullscan_QCB.mzML filtered Peak # data points,fullscan_QCB.mzML filtered Peak FWHM,fullscan_QCB.mzML filtered Peak tailing factor,fullscan_QCB.mzML filtered Peak asymmetry factor,fullscan_QCB.mzML filtered Peak m/z min,fullscan_QCB.mzML filtered Peak m/z max,
33,126.06636047363281,8.14472843068333,,,,,1,DETECTED,126.0664 m/z @8.14 [fullscan_QCB.mzML filtered],126.06636047363281,8.14472843068333,7.98949206586667,8.32948227388333,0.339990208016661,1220765.125,1.2404192436435167E7,1,42,0.155868056776308,1.095072692594298,1.2141571927060228,126.06629943847656,126.06640625,
34,282.119873046875,6.8977250728,,,,,1,DETECTED,282.1199 m/z @6.90 [fullscan_QCB.mzML filtered],282.119873046875,6.8977250728,6.83853350081667,7.0356082624,0.19707476158333037,1141035.875,6443459.975939922,1,25,0.07021111381452982,1.3756626668294434,2.9213561501634135,282.1197814941406,282.1199645996094,
35,667.2301635742188,12.4977159338833,,,,,1,DETECTED,667.2302 m/z @12.50 [fullscan_QCB.mzML filtered],667.2301635742188,12.4977159338833,12.2105487658833,12.7379975122667,0.527448746383401,1112420.125,1.9819177110701464E7,1,63,0.31656769340149715,0.9183653376130345,0.8297796746455026,667.2297973632812,667.23046875,
36,355.154296875,3.98852933441667,,,,,1,DETECTED,355.1543 m/z @3.99 [fullscan_QCB.mzML filtered],355.154296875,3.98852933441667,3.75782674,4.33280720426667,0.57498046426667,1038162.6875,1.499312220175795E7,1,70,0.24830463752012566,1.5029461410865548,2.46819375334521,355.1540832519531,355.1547546386719,
37,70.06533813476562,12.6582169933333,,,,,1,DETECTED,70.0653 m/z @12.66 [fullscan_QCB.mzML filtered],70.06533813476562,12.6582169933333,12.5815195690667,12.7564594469333,0.17493987786660092,1007510.1875,1035202.3552587726,0,21,1.2238856671728868,0.5640759031440364,0.06412495711720495,70.06531524658203,70.06539154052734,
38,325.11322021484375,12.380890808,,,,,1,DETECTED,325.1132 m/z @12.38 [fullscan_QCB.mzML filtered],325.11322021484375,12.380890808,11.8758165122833,12.8025455461333,0.92672903385,991928.75,2.995574405697619E7,1,108,0.5500156834753085,0.998053463996923,0.7680627726736576,325.11309814453125,325.11346435546875,
39,275.1103820800781,7.85344476535,,,,,1,DETECTED,275.1104 m/z @7.85 [fullscan_QCB.mzML filtered],275.1103820800781,7.85344476535,7.52188492428333,8.24603938773333,0.7241544634499997,980702.1875,1.7366147450489294E7,1,89,0.3713643702571705,1.0644380213652662,1.0111356357495536,275.1102294921875,275.1105041503906,
40,258.1103820800781,12.6582169933333,,,,,1,DETECTED,258.1104 m/z @12.66 [fullscan_QCB.mzML filtered],258.1103820800781,12.6582169933333,12.5899128282667,12.747290936,0.15737810773330096,974372.3125,779393.4914624634,0,20,1.8817732305081556,0.5352430772784036,0.037427644788867134,258.1100769042969,258.11065673828125,
41,515.21337890625,10.8705826472,,,,,1,DETECTED,515.2134 m/z @10.87 [fullscan_QCB.mzML filtered],515.21337890625,10.8705826472,10.7173023082833,10.9654436890667,0.24814138078339987,928310.375,6678404.413179609,1,33,0.10169957755214476,0.9524163155658605,0.9775691223977345,515.2127685546875,515.2138061523438,
42,487.16632080078125,12.539731201866703,,,,,1,DETECTED,487.1663 m/z @12.54 [fullscan_QCB.mzML filtered],487.16632080078125,12.539731201866703,12.06116658055,12.7840292506667,0.7228626701167009,911879.6875,2.1478994876638643E7,1,85,0.44374519031066306,0.7552403979715903,0.4801157236935645,487.1660461425781,487.1667175292969,
43,684.2565307617188,12.539731201866703,,,,,1,DETECTED,684.2565 m/z @12.54 [fullscan_QCB.mzML filtered],684.2565307617188,12.539731201866703,12.2105487658833,12.7564594469333,0.5459106810500014,878507.125,1.5838906881625894E7,1,65,0.29916229892391577,0.8291916903451143,0.6187142943715431,684.2561645507812,684.257080078125,
