,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_lr_schedule,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_vf_coef,state
35,35,35.59299526969262,2022-08-18 07:28:49.671308,2022-08-18 07:55:59.864530,0 days 00:27:10.193222,tanh,32,0.4,3.526531337091374e-07,0.92,0.95,4.3606445371145144e-05,linear,0.5,10,8,small,0.6029002707463933,COMPLETE
36,36,-499.0,2022-08-18 07:55:59.890458,2022-08-18 08:02:40.556735,0 days 00:06:40.666277,tanh,16,0.1,0.0012396047884157802,0.9,0.999,0.004723082582901783,linear,0.8,5,32,small,0.3449831409137809,PRUNED
37,37,-19.182085597794504,2022-08-18 08:02:40.571445,2022-08-18 08:30:13.554575,0 days 00:27:32.983130,tanh,256,0.2,3.441936763171335e-08,0.98,0.9,0.0008950975673064248,constant,5.0,20,16,small,0.2922908272574269,PRUNED
38,38,34.23258660323918,2022-08-18 08:30:13.565788,2022-08-18 08:41:09.521412,0 days 00:10:55.955624,tanh,32,0.3,1.235800746934223e-05,0.9,0.9,0.000514665303722546,linear,0.7,10,1024,small,0.519949683456111,COMPLETE
39,39,25.00000037252903,2022-08-18 08:41:09.555074,2022-08-18 08:45:40.962785,0 days 00:04:31.407711,relu,512,0.1,2.0311308140471536e-06,0.8,0.98,2.841852897029782e-05,linear,1.0,1,256,large,0.42206341704957057,COMPLETE
40,40,-382.0502026932314,2022-08-18 08:45:40.992774,2022-08-18 08:57:23.650743,0 days 00:11:42.657969,tanh,32,0.4,1.4435585885534418e-05,0.95,0.95,0.001870890786279009,constant,0.7,10,32,small,0.7376531265188142,PRUNED
41,41,35.519124396145344,2022-08-18 08:57:23.665408,2022-08-18 09:08:16.946201,0 days 00:10:53.280793,tanh,32,0.4,4.21137898405393e-07,0.9,0.9,3.3604624342557714e-05,constant,5.0,5,16,small,0.5553908702928604,COMPLETE
42,42,38.29713161427062,2022-08-18 09:08:16.973006,2022-08-18 09:19:36.459282,0 days 00:11:19.486276,tanh,32,0.4,7.512622389935271e-08,0.9,0.9,5.847119923862876e-05,constant,5.0,5,16,small,0.47280118211713784,COMPLETE
43,43,38.18475837158039,2022-08-18 09:19:36.487030,2022-08-18 09:31:01.066189,0 days 00:11:24.579159,tanh,32,0.4,6.380414538286721e-08,0.9,0.9,7.281996679386714e-05,constant,5.0,5,16,small,0.4644348126879937,COMPLETE
44,44,42.75553091490583,2022-08-18 09:31:01.118793,2022-08-18 09:42:53.528836,0 days 00:11:52.410043,tanh,256,0.4,8.106819169649864e-08,0.99,0.9,0.00015691434951044467,constant,0.3,5,16,small,0.467462117937123,COMPLETE
45,45,25.00000037252903,2022-08-18 09:42:53.554443,2022-08-18 09:49:23.115779,0 days 00:06:29.561336,tanh,256,0.4,2.385558097628508e-07,0.99,0.99,0.00017984255038581737,constant,0.3,5,64,small,0.4707907302345627,COMPLETE
46,46,-499.0,2022-08-18 09:49:23.150227,2022-08-18 09:53:42.013126,0 days 00:04:18.862899,relu,256,0.2,7.627993629366577e-05,0.99,0.9999,0.0004191501368621406,constant,0.3,5,1024,small,0.41550686232054607,PRUNED
47,47,25.00000037252903,2022-08-18 09:53:42.030047,2022-08-18 09:59:34.560911,0 days 00:05:52.530864,tanh,256,0.1,3.933999431808683e-06,0.99,0.9,0.00013461662657780852,constant,0.3,5,2048,small,0.6091169368116198,COMPLETE
48,48,-7.822092908294872,2022-08-18 09:59:34.597717,2022-08-18 10:38:30.734647,0 days 00:38:56.136930,tanh,512,0.4,9.430239200317343e-08,0.99,0.98,2.0050680265355903e-05,constant,0.5,20,16,large,0.33548607565610933,PRUNED
49,49,-210.04404943557455,2022-08-18 10:38:30.747602,2022-08-18 10:47:21.973543,0 days 00:08:51.225941,tanh,256,0.3,1.153999172910971e-06,0.92,0.999,0.0009560716259668662,constant,0.6,5,32,small,0.270524351480794,PRUNED
